"id","ODK","QTR","DRIVE","O_SCORE","OPP_SCORE","DN","DIST","YARD_LN","SIDE","HASH","PLAY_TYPE","RESULT","GN_LS"
1,"D",2,1,21,7,1,10,23,"-","M","PASS","INCOMPLETE",0
2,"D",2,1,21,7,2,10,23,"-","M","RUN","RUSH",1
3,"D",2,1,21,7,3,9,24,"-","M","PASS","COMPLETE",9
4,"D",2,1,21,7,1,10,33,"-","M","PASS","COMPLETE",9
5,"D",2,1,21,7,1,10,34,"-","M","PASS","INCOMPLETE",0
6,"D",2,1,21,7,2,10,34,"-","M","RUN","RUSH",8
7,"D",2,1,21,7,3,2,42,"-","L","RUN","RUSH",7
8,"D",2,1,21,7,1,10,49,"-","L","PASS","COMPLETE",22
9,"D",2,1,21,7,1,10,29,"+","L","PASS","COMPLETE",29
10,"O",2,2,21,14,1,10,49,"-","L","PASS","COMPLETE",19
11,"O",2,2,21,14,2,10,32,"+","L","RUN","RUSH",5
12,"O",2,2,21,14,3,5,27,"+","L","PASS","COMPLETE",12
13,"O",2,2,21,14,1,10,15,"+","L","PASS","COMPLETE",4
14,"D",3,3,24,14,1,10,16,"-","L","RUN","RUSH",7
15,"D",3,3,24,14,2,3,23,"-","L","RUN","RUSH",10
16,"D",3,3,24,14,1,10,33,"-","M","RUN","RUSH",10
17,"D",3,3,24,14,1,10,43,"-","M","RUN","RUSH",4
18,"D",3,3,24,14,2,6,47,"-","L","RUN","RUSH",5
19,"D",3,3,24,14,3,1,48,"+","L","RUN","RUSH",3
20,"D",3,3,24,14,1,10,45,"+","M","RUN","RUSH",9
21,"D",3,3,24,14,2,1,36,"+","M","RUN","RUSH",9
22,"D",3,3,24,14,1,10,27,"+","M","RUN","RUSH",8
23,"D",3,3,24,14,2,2,19,"+","M","RUN","RUSH",19
24,"O",3,4,24,21,1,10,35,"-","M","PASS","COMPLETE",3
25,"O",3,4,24,21,2,7,38,"-","L","RUN","RUSH",-1
26,"O",3,4,24,21,3,8,37,"-","L","PASS","INCOMPLETE",0
27,"D",3,5,24,21,1,10,31,"-","M","RUN","RUSH",5
28,"D",3,5,24,21,2,5,36,"-","L","RUN","RUSH",9
29,"D",3,5,24,21,1,10,45,"-","L","RUN","RUSH",4
30,"D",3,5,24,21,2,6,49,"-","L","RUN","RUSH",10
31,"D",3,5,24,21,1,10,31,"+","R","RUN","RUSH",1
32,"D",3,5,24,21,2,9,30,"+","M","RUN","RUSH",4
33,"D",3,5,24,21,3,5,26,"+","L","RUN","RUSH",8
34,"D",3,5,24,21,1,10,18,"+","R","RUN","RUSH",2
35,"D",3,5,24,21,2,8,16,"+","L","RUN","RUSH",3
36,"D",4,5,24,21,3,5,13,"+","L","RUN","RUSH",2
37,"D",4,5,24,21,4,3,11,"+","L","RUN","RUSH",0
38,"O",4,6,24,21,1,10,11,"-","L","RUN","RUSH",15
39,"O",4,6,24,21,1,10,26,"-","L","RUN","RUSH",1
40,"O",4,6,24,21,2,9,27,"-","M","RUN","RUSH",11
41,"O",4,6,24,21,1,10,38,"-","L","RUN","RUSH",5
42,"O",4,6,24,21,2,5,43,"-","L","RUN","RUSH",4
43,"O",4,6,24,21,3,1,47,"-","L","RUN","RUSH",2
44,"O",4,6,24,21,1,10,49,"-","L","RUN","RUSH",1
45,"O",4,6,24,21,2,9,50,"-","M","RUN","RUSH",8
46,"O",4,6,24,21,3,1,42,"+","R","RUN","RUSH",6
47,"O",4,6,24,21,1,10,36,"+","R","RUN","RUSH",2
48,"O",4,6,24,21,2,8,34,"+","L","RUN","RUSH",0
49,"O",4,6,24,21,3,8,34,"+","M","PASS","COMPLETE",7
50,"O",4,6,24,21,4,1,27,"+","L","PASS","COMPLETE",2
51,"O",4,6,24,21,1,10,25,"+","L","RUN","RUSH",2
52,"O",4,6,24,21,2,8,23,"+","L","RUN","RUSH",1
53,"O",4,6,24,21,3,7,22,"+","L","RUN","RUSH",-4
54,"O",4,6,24,21,4,11,26,"+","M","PASS","RUSH",0
55,"D",4,7,24,21,1,10,26,"-","M","PASS","COMPLETE",8
56,"D",4,7,24,21,2,2,34,"-","R","PASS","COMPLETE",15
57,"D",4,7,24,21,1,10,49,"-","R","PASS","COMPLETE",19
58,"D",4,7,24,21,1,10,32,"+","R","RUN","RUSH",14
59,"D",4,7,24,21,1,10,18,"+","R","PASS","INCOMPLETE",0
60,"D",4,7,24,21,2,15,18,"+","R","RUN","RUSH",5
61,"D",4,7,24,21,3,11,19,"+","R","PASS","COMPLETE",18
62,"D",4,7,24,21,1,1,1,"+","L","RUN","RUSH",1
63,"O",4,8,24,28,1,10,27,"-","M","PASS","RUSH",12
64,"O",4,8,24,28,1,10,39,"-","R","PASS","COMPLETE",10
65,"O",4,8,24,28,1,10,49,"-","R","RUN","RUSH",0
