O_OFF_FORM,O_OFF_PLAY,O_LINE,D_DEF_FORM,O_DEF_FORM,O_DEF_FRONT,D_OFF_FORM,D_OFF_PLAY,D_DEF_PLAY,O_PERSONNEL,D_PERSONNEL,O_DEF_COVERAGE,O_DEF_BLITZ
RIP,50 FERRARI L,BIG,'4-2,'3-4,OKIE,RIP,31 SPACING,WHITE,10,10,0,S
LIZ,BIG PITT,SMALL,'3-4,'4-3,EVEN,LIZ,BIG COUNTER,BLUE,11,11,1,W
LAZOR,SMALL SEATTLE,30,'4-2,'3-2,ODD,EVEN,SMALL TOSS,,12,12,2,M
GOLD,BIG JET R,31,'5-2,'5-2,,,CIGAR,,20,20,3,MAM
SILVER,31 NISSAN,50,Specify with a double ('') if you are using formations like 3-4. This prevents execl from changing it to a date,Specify with a double ('') if you are using formations like 3-4. This prevents execl from changing it to a date,,,,,21,21,4,SAW
RAZOR,,51,,,,,,,22,22,3-MAN,WAM
,,,,,,,,,23,23,2-MAN,SAM
,,,,,,,,,NA,30,4-MAN,SMMW
,,,,,,,,,NA,31,,SMW
,,,,,,,,,NA,32,,
,,,,,,,,,NA,0,,
,,,,,,,,,NA,1,,
,,,,,,,,,NA,2,,
